,Unnamed: 0,model,threshold,precision,recall,F1,n_splits,pk,cd_component_precision_mean,cd_component_precision_std,cd_component_recall_mean,cd_component_recall_std,split_component_recall_mean,split_component_recall_std,split_component_precision_mean,split_component_precision_std,fa_relative_area_to_gt_mean,fa_relative_area_to_gt_std,fa_norm_distance_mean,fa_norm_distance_std,detection_failure,cd_dice_joint_mean,cd_dice_joint_std,split_dice_joint_mean,split_dice_joint_std,cd_component_f1_score,split_component_f1_score
0,0,8s,0.1,43.6,0.9928571428571428,60.6,3,8s0.1,75.5,14.0,98.3,5.3,73.5,15.1,91.5,3.0,0.17477503546243894,0.8082818917748998,7.60546388541712,7.539808182670964,1,0.8432145339015611,0.10845178993270782,0.8095070190253836,0.10572388900793976,85.40448791714614,81.51818181818182
1,1,8s,0.2,64.1,0.9928571428571428,77.9,4,8s0.2,81.9,13.1,96.5,8.0,73.2,20.0,88.6,10.3,0.2855123183253506,0.880329615781311,4.726986621653407,5.4483640227436485,1,0.8758861332778021,0.10210210787677276,0.7789507815759854,0.12074060841667934,88.60257847533633,80.16711990111247
2,2,8s,0.3,68.8,0.9928571428571428,81.3,2,8s0.3,85.8,12.4,94.2,11.5,69.1,6.7,96.9,0.2,0.2751156754410394,0.7745935532281945,3.9795678844736115,4.740946373736522,1,0.8856243924490091,0.11687434889017885,0.8046795901077679,0.04246676858814477,89.804,80.6721686746988
3,3,8s,0.4,73.9,0.9928571428571428,84.8,1,8s0.4,88.7,11.9,92.1,12.7,62.9,0.0,97.5,0.0,0.2877840606209127,0.7626259212050598,3.543366273321329,4.466714216617769,1,0.8905568659965972,0.1224414344238378,0.7646031033598358,0.0,90.36803097345131,76.46820448877806
4,4,8s,0.5,75.4,0.9857142857142858,85.4,2,8s0.5,91.0,11.3,90.2,11.7,73.1,17.6,96.6,2.2,0.25630874020782624,0.6875157461731203,3.7227387138786816,4.643164268411796,2,0.8956656065235509,0.10256735285639376,0.8213923923526659,0.1019269431797944,90.598233995585,83.22286387743075
5,5,8s,0.6,81.2,0.9857142857142858,89.0,6,8s0.6,92.8,10.8,87.7,12.9,68.9,22.6,96.9,3.0,0.2898050586115172,0.7012832001571941,4.0093291198672025,5.222187101906524,2,0.8904418505200297,0.11571852803675872,0.7814314711310855,0.16922533999961367,90.17795013850416,80.5357056694813
6,6,8s,0.7,84.0,0.9856115107913668,90.7,3,8s0.7,94.6,9.7,83.8,13.8,64.5,13.7,97.4,3.4,0.2854736871071097,0.6698293190975075,4.134963626347428,5.367878555255996,2,0.8786283159173681,0.10770496291510556,0.7671388332395394,0.09004719939083361,88.87309417040359,77.60716491661519
7,7,8s,0.8,84.6,0.9785714285714284,90.7,10,8s0.8,96.6,7.4,79.2,15.6,59.2,20.2,95.9,7.2,0.2313705516652728,0.5749122664076047,3.0885193928782866,4.4990320668036,3,0.8571315015536127,0.12095651714173238,0.7130031497256503,0.17098405425145888,87.03890784982934,73.2079948420374
8,8,8s,0.9,90.1,0.9714285714285714,93.5,8,8s0.9,98.1,6.0,68.3,21.1,57.4,18.4,98.7,3.0,0.2379037858340269,0.5007840248503358,3.801295640739375,5.657677073121833,4,0.7790386095644828,0.19596607568399607,0.7078139684018536,0.1357616584320903,80.53161057692309,72.5865470852018
9,9,16s,0.1,71.3,1.0,83.2,6,16s0.1,75.7,13.1,95.4,14.7,54.1,21.9,83.1,8.9,0.11578606425945764,0.441331986807263,5.265806236587387,6.533785527356308,0,0.8311828035873124,0.13452756898296425,0.6190966881272991,0.17489647836633113,84.41589713617768,65.53513119533528
10,10,16s,0.2,82.1,0.9928057553956836,89.9,5,16s0.2,81.9,12.0,93.0,17.8,46.9,27.2,93.8,6.1,0.0926087693941012,0.2268904610511678,3.3692414892443283,4.670470626556188,1,0.8506251243202503,0.15253958525835992,0.5707018682589949,0.2643189869779733,87.09777015437393,62.53333333333333
11,11,16s,0.3,87.3,0.9856115107913668,92.6,3,16s0.3,85.4,11.8,90.7,19.5,36.5,35.2,95.8,3.9,0.07069433742042935,0.14022756991314486,2.7132932465256334,4.160642028725553,2,0.8567992281316493,0.1684416155838666,0.4360778567236442,0.3803994360588897,87.9702441794435,52.86016628873771
12,12,16s,0.4,87.0,0.9640287769784172,91.5,1,16s0.4,87.7,12.1,89.8,18.2,37.0,0.0,96.7,0.0,0.04150266696493558,0.08897590514911242,3.7982504725203037,5.082655284351636,5,0.8695829655146258,0.1562686419741596,0.5350558471269008,0.0,88.73757746478873,53.52131637995513
